quarter,unemp_rate,spf_5y_unemp,log_gdp,gdp_gap,gdp_gap_lag_1,gdp_gap_lag_2
1999 Q2,2.804346616889333,NA,11.717194417023428,-0.6393891070732252,-0.6738277564247229,-0.7332518639612765
1999 Q3,2.5831585593345534,NA,11.724606888282509,-0.40976486695361825,-0.6393891070732252,-0.6738277564247229
1999 Q4,2.37752693648419,NA,11.747852798603533,1.4091669566487384,-0.40976486695361825,-0.6393891070732252
2000 Q1,1.96847651202754,NA,11.75221083540035,1.3488822757276369,1.4091669566487384,-0.40976486695361825
2000 Q2,1.8734753048653032,NA,11.75408217329613,1.0522249938616337,1.3488822757276369,1.4091669566487384
2000 Q3,1.81528931937669,NA,11.760616400376906,1.2360373094927888,1.0522249938616337,1.3488822757276369
2000 Q4,1.6719557783705201,NA,11.77483075574707,2.2032688822781754,1.2360373094927888,1.0522249938616337
2001 Q1,1.5381658288512334,NA,11.775385094285255,1.8203584259803527,2.2032688822781754,1.2360373094927888
2001 Q2,1.6098042921522333,NA,11.77984126971881,1.8425674961821348,1.8203584259803527,2.2032688822781754
2001 Q3,1.71629715018687,NA,11.77961780403511,1.409686750452713,1.8425674961821348,1.8203584259803527
2001 Q4,1.93367141694957,NA,11.779085156210188,0.955548940541864,1.409686750452713,1.8425674961821348
2002 Q1,2.138863892336307,NA,11.778187242566599,0.4704514986326666,0.955548940541864,1.409686750452713
2002 Q2,2.37860981218864,NA,11.781010978310945,0.358394527225094,0.4704514986326666,0.955548940541864
2002 Q3,2.65067336803509,NA,11.78324672598742,0.18342883039136354,0.358394527225094,0.4704514986326666
2002 Q4,3.030528847459047,NA,11.778234784692676,-0.725625129129508,0.18342883039136354,0.358394527225094
2003 Q1,3.3395590168446567,NA,11.772725780296176,-1.6990288543370506,-0.725625129129508,0.18342883039136354
2003 Q2,3.6808668139111966,NA,11.771484104045877,-2.2652137946749944,-1.6990288543370506,-0.725625129129508
2003 Q3,3.81649599582419,NA,11.780376233291204,-1.841340896406819,-2.2652137946749944,-1.6990288543370506
2003 Q4,3.9275344007417066,NA,11.790557522464706,-1.3142676388617092,-1.841340896406819,-2.2652137946749944
2004 Q1,3.9738142394188167,NA,11.7964934217195,-1.2386910912518412,-1.3142676388617092,-1.841340896406819
2004 Q2,3.8844005971280735,NA,11.802486400146124,-1.1847850117730712,-1.2386910912518412,-1.3142676388617092
2004 Q3,3.8484135783832767,NA,11.801712434725003,-1.834598187700448,-1.1847850117730712,-1.2386910912518412
2004 Q4,3.824825057722343,NA,11.807126891516415,-1.8915000076913553,-1.834598187700448,-1.1847850117730712
2005 Q1,3.80875422622815,NA,11.816427930557419,-1.5834338388577216,-1.8915000076913553,-1.834598187700448
2005 Q2,3.7875679494240164,NA,11.828815964678087,-0.9869355815054288,-1.5834338388577216,-1.8915000076913553
2005 Q3,3.7460374608296765,NA,11.838746259483809,-0.6520662122594086,-0.9869355815054288,-1.5834338388577216
2005 Q4,3.6887144677385932,NA,11.84852943391216,-0.3427345397873649,-0.6520662122594086,-0.9869355815054288
2006 Q1,3.543959356654627,NA,11.859176141423248,0.047561620878637134,-0.3427345397873649,-0.6520662122594086
2006 Q2,3.39036415244129,NA,11.865830126666117,0.038847782687797226,0.047561620878637134,-0.3427345397873649
2006 Q3,3.2773272604909565,NA,11.874607830960985,0.2483893996935594,0.038847782687797226,0.047561620878637134
2006 Q4,3.1201424985224433,NA,11.8897587593443,1.1067340177081664,0.2483893996935594,0.038847782687797226
2007 Q1,2.9453903091567732,NA,11.897318163161366,1.2228485700545646,1.1067340177081664,0.2483893996935594
2007 Q2,2.7920371249513334,NA,11.911162150281577,1.9890939337037938,1.2228485700545646,1.1067340177081664
2007 Q3,2.7091059528486165,NA,11.919889123182571,2.26929616609502,1.9890939337037938,1.2228485700545646
2007 Q4,2.6528800344214267,NA,11.925650065390544,2.2812962458143917,2.26929616609502,1.9890939337037938
2008 Q1,2.4790025899603565,NA,11.931558488529618,2.3377696511371355,2.2812962458143917,2.26929616609502
2008 Q2,2.5262032329980966,NA,11.941273338770138,2.804509504807061,2.3377696511371355,2.2812962458143917
2008 Q3,2.54123506358094,NA,11.945787729733766,2.7792645686675748,2.804509504807061,2.3377696511371355
2008 Q4,2.68682648461049,NA,11.924683802004305,0.2169334823358014,2.7792645686675748,2.804509504807061
2009 Q1,3.145695907658607,NA,11.909952020217062,-1.6884897497760634,0.2169334823358014,2.7792645686675748
2009 Q2,3.5955454987089035,NA,11.913087199650821,-1.7927116423348481,-1.6884897497760634,0.2169334823358014
2009 Q3,3.972505194548477,NA,11.921723646047,-1.336434357650032,-1.7927116423348481,-1.6884897497760634
2009 Q4,4.150811585396826,NA,11.927677078465086,-1.1410982814481427,-1.336434357650032,-1.7927116423348481
2010 Q1,3.7441859010718934,NA,11.93765832709022,-0.5377974154162656,-1.1410982814481427,-1.336434357650032
2010 Q2,3.6006863570654666,NA,11.942912455536721,-0.40348923189829483,-0.5377974154162656,-1.1410982814481427
2010 Q3,3.4392119238369303,NA,11.94962893904585,-0.1203539171589193,-0.40348923189829483,-0.5377974154162656
2010 Q4,3.248455584120317,NA,11.958672038671102,0.3971591045303958,-0.1203539171589193,-0.40348923189829483
2011 Q1,3.042420829543623,NA,11.960695219599726,0.213596043471761,0.3971591045303958,-0.1203539171589193
2011 Q2,2.83791205741727,NA,11.968683545690153,0.6264147526450938,0.213596043471761,0.3971591045303958
2011 Q3,2.738711327064163,NA,11.96360744972617,-0.2685235199610214,0.6264147526450938,0.213596043471761
2011 Q4,2.780647214077203,NA,11.966382202112298,-0.3812652735053746,-0.2685235199610214,0.6264147526450938
2012 Q1,2.8081696085831265,NA,11.969337088178122,-0.4802876874399238,-0.3812652735053746,-0.2685235199610214
2012 Q2,2.8403420842617835,NA,11.970201315342127,-0.793837441531041,-0.4802876874399238,-0.3812652735053746
2012 Q3,2.936945417063957,NA,11.977216712512494,-0.49859888677072006,-0.793837441531041,-0.4802876874399238
2012 Q4,3.0474510326431132,NA,11.980104599325092,-0.6228111529811737,-0.49859888677072006,-0.793837441531041
2013 Q1,3.1082670361761067,NA,11.98538354907224,-0.5146763800353197,-0.6228111529811737,-0.49859888677072006
2013 Q2,3.1082657157495266,NA,11.992370638558945,-0.24215709956699616,-0.5146763800353197,-0.6228111529811737
2013 Q3,3.1679879421845065,NA,11.999279382387607,0.01674960926715814,-0.24215709956699616,-0.5146763800353197
2013 Q4,3.2153938968004936,NA,12.001703839263831,-0.17774757418195677,0.01674960926715814,-0.24215709956699616
2014 Q1,3.07517568287219,NA,12.006360914379453,-0.15316579044598377,-0.17774757418195677,0.01674960926715814
2014 Q2,3.041527303009097,NA,12.012972783199722,0.0636159395183894,-0.15316579044598377,-0.17774757418195677
2014 Q3,3.032890673649607,NA,12.020569601306045,0.3766123349895684,0.0636159395183894,-0.15316579044598377
2014 Q4,3.01774551798314,NA,12.027488115676892,0.6204574949897601,0.3766123349895684,0.0636159395183894
2015 Q1,3.07515706033228,3.3076278781427,12.027030293879436,0.12607219470231726,0.6204574949897601,0.3766123349895684
2015 Q2,3.1408190923146,3.44078191000978,12.028702408802971,-0.15558004441180304,0.12607219470231726,0.6204574949897601
