"REGION","CANTON","PERIOD","VALUE","STATUS","OBS_COEF"
"1","23","2025-10","3.1","A","A"
"1","25","2025-10","4.9","A","A"
"2","Total","2025-10","2.6","A","A"
"2","2","2025-10","2.1","R","A"
"2","10","2025-10","2.5","A","A"
"2","11","2025-10","3.1","A","A"
"2","24","2025-10","4.6","A","B"
"2","26","2025-10","5.1","R","B"
"3","Total","2025-10","3.2","A","A"
"3","12","2025-10","4.3","A","A"
"3","13","2025-10","2.8","A","A"
"3","19","2025-10","3.1","A","A"
"4","Total","2025-10","2.7","A","A"
"4","1","2025-10","2.7","A","A"
"5","Total","2025-10","2","A","A"
"5","8","2025-10","1.8","A","B"
"5","14","2025-10","3","A","B"
"5","15","2025-10","1.6","A","B"
"5","16","2025-10","0.8","A","C"
"5","17","2025-10","2","A","A"
"5","18","2025-10","1.4","A","A"
"5","20","2025-10","2.3","A","A"
"6","Total","2025-10","1.8","A","A"
"6","3","2025-10","2","A","A"
"6","4","2025-10","1","A","C"
"6","5","2025-10","1.2","A","B"
"6","6","2025-10","1","A","B"
"6","7","2025-10","1.1","A","B"
"6","9","2025-10","2.7","A","B"
"7","Total","2025-10","2.7","A","A"
"7","21","2025-10","2.7","A","A"
"Total","Total","2025-09","2.8","A","A"
"1","Total","2025-09","4.3","A","A"
"1","22","2025-09","4.5","A","A"
"1","23","2025-09","2.9","A","A"
"1","25","2025-09","4.9","A","A"
"2","Total","2025-09","2.6","A","A"
"2","2","2025-09","2","R","A"
"2","10","2025-09","2.5","A","A"
"2","11","2025-09","3.1","A","A"
"2","24","2025-09","4.6","A","B"
"2","26","2025-09","5.1","R","B"
"3","Total","2025-09","3.2","A","A"
"3","12","2025-09","4.3","A","A"
"3","13","2025-09","2.8","A","A"
"3","19","2025-09","3.1","A","A"
"4","Total","2025-09","2.6","A","A"
"4","1","2025-09","2.6","A","A"
"5","Total","2025-09","2","A","A"
"5","8","2025-09","1.8","A","B"
"5","14","2025-09","2.8","A","B"
"5","15","2025-09","1.6","A","B"
"5","16","2025-09","0.8","A","C"
"5","17","2025-09","2","A","A"
"5","18","2025-09","1.2","A","A"
"5","20","2025-09","2.3","A","A"
"6","Total","2025-09","1.8","A","A"
"6","3","2025-09","2","A","A"
"6","4","2025-09","1","A","C"
"6","5","2025-09","1.1","A","B"
"6","6","2025-09","0.9","A","B"
"6","7","2025-09","1.1","A","B"
"6","9","2025-09","2.6","A","B"
"7","Total","2025-09","2.6","A","A"
"7","21","2025-09","2.6","A","A"
"Total","Total","2025-08","2.8","A","A"
"1","Total","2025-08","4.2","A","A"
"1","22","2025-08","4.5","A","A"
"1","23","2025-08","2.8","A","A"
"1","25","2025-08","4.7","A","A"
"2","Total","2025-08","2.6","A","A"
"2","2","2025-08","2","R","A"
"2","10","2025-08","2.5","A","A"
"2","11","2025-08","3.1","A","A"
"2","24","2025-08","4.6","A","B"
"2","26","2025-08","5.1","R","B"
"3","Total","2025-08","3.2","A","A"
"3","12","2025-08","4.3","A","A"
"3","13","2025-08","2.7","A","A"
"3","19","2025-08","3.1","A","A"
"4","Total","2025-08","2.6","A","A"
"4","1","2025-08","2.6","A","A"
"5","Total","2025-08","1.9","A","A"
"5","8","2025-08","1.7","A","B"
"5","14","2025-08","2.8","A","B"
"5","15","2025-08","1.6","A","B"
"5","16","2025-08","0.8","A","C"
"5","17","2025-08","2","A","A"
"5","18","2025-08","1","A","A"
"5","20","2025-08","2.3","A","A"
"6","Total","2025-08","1.8","A","A"
"6","3","2025-08","2","A","A"
"6","4","2025-08","1","A","C"
"6","5","2025-08","1.1","A","B"
"6","6","2025-08","0.9","A","B"
