date,ch.kof.consensus.q_qn_10yyield_12m.mean,ch.kof.consensus.q_qn_10yyield_3m.mean,ch.kof.consensus.q_qn_3minterest_12m.mean,ch.kof.consensus.q_qn_3minterest_3m.mean,ch.kof.consensus.q_qn_eurchf_12m.mean,ch.kof.consensus.q_qn_eurchf_3m.mean,ch.kof.consensus.q_qn_exports_cy.mean,ch.kof.consensus.q_qn_exports_ny.mean,ch.kof.consensus.q_qn_investbau_cy.mean,ch.kof.consensus.q_qn_investbau_ny.mean,ch.kof.consensus.q_qn_invest_cy.mean,ch.kof.consensus.q_qn_investequ_cy.mean,ch.kof.consensus.q_qn_investequ_ny.mean,ch.kof.consensus.q_qn_invest_ny.mean,ch.kof.consensus.q_qn_prices_5y.mean,ch.kof.consensus.q_qn_prices_cy.mean,ch.kof.consensus.q_qn_prices_ny.mean,ch.kof.consensus.q_qn_realgdp_5y.mean,ch.kof.consensus.q_qn_realgdp_cy.mean,ch.kof.consensus.q_qn_realgdp_ny.mean,ch.kof.consensus.q_qn_realgdpspea_5y.mean,ch.kof.consensus.q_qn_realgdpspea_cy.mean,ch.kof.consensus.q_qn_realgdpspea_ny.mean,ch.kof.consensus.q_qn_spi_12m.mean,ch.kof.consensus.q_qn_spi_3m.mean,ch.kof.consensus.q_qn_unemp_5y.mean,ch.kof.consensus.q_qn_unemp_cy.mean,ch.kof.consensus.q_qn_unemp_ny.mean,ch.kof.consensus.q_qn_usdchf_12m.mean,ch.kof.consensus.q_qn_usdchf_3m.mean
Okt 2008,2.27045454545455,2.08,0.868863636363636,0.776818181818182,1.54142857142857,1.52452380952381,4.27896281521053,-0.264451509157895,NA,NA,-0.229125154473684,NA,NA,-2.49817948331579,NA,2.4144792666087,0.936028770826087,NA,1.88141672765217,0.0432511659130435,NA,NA,NA,5140.61538461538,4712.69230769231,NA,2.57532511040909,3.15847015540909,1.16190476190476,1.18714285714286
Jan 2009,2.27208333333333,2.05583333333333,0.496875,0.412291666666667,1.51478260869565,1.48454545454545,-5.68527149755,0.68,NA,NA,-5.211526283,NA,NA,-0.61,NA,0.119403590045455,0.622727272727273,NA,-1.36666666666667,0.383333333333333,NA,NA,NA,4106.92307692308,3594.61538461538,NA,3.6695652173913,4.32857142857143,1.12,1.15290909090909
Apr 2009,2.50526315789474,2.30526315789474,0.536842105263158,0.393421052631579,1.52588235294118,1.51888888888889,-9.688397270625,0.688814849375,NA,NA,-6.807995033,NA,NA,-1.00175052375,NA,-0.38264933355,0.6928538112,NA,-2.49335278955,0.13163359835,NA,NA,NA,5017.90909090909,4619.18181818182,NA,3.83951135489474,4.75790036084211,1.078125,1.1
Jul 2009,2.54778846153846,2.25375,0.521153846153846,0.352596153846154,1.52815217391304,1.52,-10.5863636363636,2.21818181818182,NA,NA,-4.84204545454545,NA,NA,-0.785227272727273,NA,-0.422115384615385,0.658653846153846,NA,-2.24423076923077,0.357692307692308,NA,NA,NA,5607.83333333333,5322.5,NA,3.913,4.929,1.05836956521739,1.07239130434783
Okt 2009,2.472,2.144,0.6425,0.284642857142857,1.51534722222222,1.51364583333333,-10.6144736842105,3.74210526315789,NA,NA,-3.21513157894737,NA,NA,0.0289473684210526,NA,-0.369047619047619,0.71547619047619,NA,-1.88154761904762,0.836904761904762,NA,NA,NA,5890.66666666667,5548.16666666667,NA,3.86071428571429,4.8,1.04527777777778,1.02222222222222
Jan 2010,2.46068181818182,2.06431818181818,0.752803030318182,0.300151515136364,1.4775,1.464,3.5807451808,4.5441217253,NA,NA,0.84894975325,NA,NA,2.314660372,NA,0.762632838409091,1.06211528761905,NA,1.19606021631818,1.58851203990476,NA,NA,NA,6137,5895.44444446667,NA,4.6265151515,4.49126984128571,1.077125,1.07383333335
Apr 2010,2.27921875,1.83416666665,0.736875,0.2884375,1.41029411764706,1.40058823529412,4.57720588235294,4.58504901958824,NA,NA,1.85347222222222,NA,NA,2.05277777777778,NA,0.939473684210526,1.16315789473684,NA,1.73354166665,1.80416666665,NA,NA,NA,6163.625,5742.0833333,NA,4.14583333331579,3.89057017542105,1.13238970588235,1.14225490194118
Jul 2010,2.0228,1.5116,0.722571428571429,0.293619047619048,1.35625263157895,1.32046315789474,7.825,4.006,NA,NA,2.007,NA,NA,1.872,NA,0.811818181818182,0.963272727272727,NA,2.26454545454545,1.71542857142857,NA,NA,NA,6061.76923076923,5730.61538461538,NA,3.88072727272727,3.63,1.05753684210526,1.03115789473684
Okt 2010,2.12843137252941,1.68703703705556,0.622368421052632,0.25125,1.35274509805882,1.32941176470588,7.48972022011111,3.32517167244444,NA,NA,3.21501706566667,NA,NA,2.45872147461111,NA,0.727665942428571,0.878030538285714,NA,2.50793394804762,1.67217996371429,NA,NA,NA,6237.96961538462,5923.40116669231,NA,3.78416666665,3.42333333335,1.02617647058824,0.993333333352941
Jan 2011,2.31596491226316,1.93266666665,0.90133333335,0.350730158714286,1.33555555555556,1.29488888888889,3.30112738815,4.28244358789474,NA,NA,3.5930680704,NA,NA,2.54536432168421,NA,0.867144520545455,1.3886162419,NA,1.96447275931818,1.8885336112,NA,NA,NA,6320.1777778,6008.75555553333,NA,3.38277341963636,3.21389446185,0.994111111111111,0.953555555555555
