"CubeId";"rendoblim"
"PublishingDate";"2025-09-01 14:29"

"Date";"D0";"Value"
"2004-09";"5J";"2.06"
"2004-09";"10J";"2.75"
"2004-10";"5J";"1.86"
"2004-10";"10J";"2.623"
"2004-11";"5J";"1.771"
"2004-11";"10J";"2.443"
"2004-12";"5J";"1.749"
"2004-12";"10J";"2.382"
"2005-01";"5J";"1.618"
"2005-01";"10J";"2.249"
"2005-02";"5J";"1.736"
"2005-02";"10J";"2.381"
"2005-03";"5J";"1.687"
"2005-03";"10J";"2.355"
"2005-04";"5J";"1.471"
"2005-04";"10J";"2.074"
"2005-05";"5J";"1.431"
"2005-05";"10J";"2.014"
"2005-06";"5J";"1.411"
"2005-06";"10J";"1.999"
"2005-07";"5J";"1.454"
"2005-07";"10J";"1.955"
"2005-08";"5J";"1.432"
"2005-08";"10J";"1.928"
"2005-09";"5J";"1.584"
"2005-09";"10J";"1.95"
"2005-10";"5J";"1.886"
"2005-10";"10J";"2.097"
"2005-11";"5J";"1.929"
"2005-11";"10J";"2.184"
"2005-12";"5J";"1.807"
"2005-12";"10J";"1.96"
"2006-01";"5J";"1.956"
"2006-01";"10J";"2.153"
"2006-02";"5J";"1.981"
"2006-02";"10J";"2.252"
"2006-03";"5J";"2.213"
"2006-03";"10J";"2.517"
"2006-04";"5J";"2.429"
"2006-04";"10J";"2.752"
"2006-05";"5J";"2.359"
"2006-05";"10J";"2.7"
"2006-06";"5J";"2.554"
"2006-06";"10J";"2.848"
"2006-07";"5J";"2.475"
"2006-07";"10J";"2.742"
"2006-08";"5J";"2.34"
"2006-08";"10J";"2.547"
"2006-09";"5J";"2.277"
"2006-09";"10J";"2.369"
"2006-10";"5J";"2.339"
"2006-10";"10J";"2.495"
"2006-11";"5J";"2.257"
"2006-11";"10J";"2.341"
"2006-12";"5J";"2.469"
"2006-12";"10J";"2.489"
"2007-01";"5J";"2.551"
"2007-01";"10J";"2.619"
"2007-02";"5J";"2.434"
"2007-02";"10J";"2.556"
"2007-03";"5J";"2.515"
"2007-03";"10J";"2.702"
"2007-04";"5J";"2.652"
"2007-04";"10J";"2.801"
"2007-05";"5J";"2.923"
"2007-05";"10J";"3.032"
"2007-06";"5J";"2.996"
"2007-06";"10J";"3.194"
"2007-07";"5J";"2.948"
"2007-07";"10J";"3.108"
"2007-08";"5J";"2.733"
"2007-08";"10J";"3.049"
"2007-09";"5J";"2.668"
"2007-09";"10J";"3.056"
"2007-10";"5J";"2.665"
"2007-10";"10J";"2.987"
"2007-11";"5J";"2.537"
"2007-11";"10J";"2.906"
"2007-12";"5J";"2.781"
"2007-12";"10J";"3.111"
"2008-01";"5J";"2.425"
"2008-01";"10J";"2.939"
"2008-02";"5J";"2.583"
"2008-02";"10J";"3.059"
"2008-03";"5J";"2.523"
"2008-03";"10J";"3.033"
"2008-04";"5J";"2.793"
"2008-04";"10J";"3.242"
"2008-05";"5J";"2.945"
"2008-05";"10J";"3.284"
"2008-06";"5J";"3.052"
"2008-06";"10J";"3.29"
"2008-07";"5J";"2.858"
"2008-07";"10J";"3.166"
"2008-08";"5J";"2.522"
"2008-08";"10J";"2.942"
"2008-09";"5J";"1.916"
"2008-09";"10J";"2.669"
"2008-10";"5J";"2.013"
"2008-10";"10J";"2.764"
"2008-11";"5J";"1.776"
"2008-11";"10J";"2.226"
"2008-12";"5J";"1.541"
"2008-12";"10J";"2.148"
"2009-01";"5J";"1.398"
"2009-01";"10J";"2.221"
"2009-02";"5J";"1.404"
"2009-02";"10J";"2.174"
"2009-03";"5J";"1.406"
"2009-03";"10J";"2.175"
"2009-04";"5J";"1.4"
"2009-04";"10J";"2.196"
"2009-05";"5J";"1.585"
"2009-05";"10J";"2.536"
"2009-06";"5J";"1.547"
"2009-06";"10J";"2.478"
"2009-07";"5J";"1.304"
"2009-07";"10J";"2.192"
"2009-08";"5J";"1.225"
"2009-08";"10J";"2.124"
"2009-09";"5J";"1.325"
"2009-09";"10J";"2.155"
"2009-10";"5J";"1.38"
"2009-10";"10J";"2.207"
"2009-11";"5J";"1.213"
"2009-11";"10J";"2.002"
"2009-12";"5J";"1.239"
"2009-12";"10J";"1.972"
"2010-01";"5J";"1.214"
"2010-01";"10J";"2.01"
"2010-02";"5J";"1.073"
"2010-02";"10J";"1.931"
"2010-03";"5J";"1.138"
"2010-03";"10J";"1.941"
"2010-04";"5J";"1.108"
"2010-04";"10J";"1.865"
"2010-05";"5J";"0.88"
"2010-05";"10J";"1.573"
"2010-06";"5J";"0.87"
"2010-06";"10J";"1.509"
"2010-07";"5J";"0.863"
"2010-07";"10J";"1.5"
"2010-08";"5J";"0.656"
"2010-08";"10J";"1.192"
"2010-09";"5J";"0.809"
"2010-09";"10J";"1.372"
"2010-10";"5J";"0.937"
"2010-10";"10J";"1.458"
"2010-11";"5J";"0.957"
"2010-11";"10J";"1.558"
"2010-12";"5J";"1.09"
"2010-12";"10J";"1.674"
"2011-01";"5J";"1.229"
"2011-01";"10J";"1.818"
"2011-02";"5J";"1.254"
"2011-02";"10J";"1.897"
"2011-03";"5J";"1.346"
"2011-03";"10J";"1.931"
"2011-04";"5J";"1.419"
"2011-04";"10J";"2.083"
"2011-05";"5J";"1.205"
"2011-05";"10J";"1.849"
"2011-06";"5J";"0.995"
"2011-06";"10J";"1.739"
"2011-07";"5J";"0.736"
"2011-07";"10J";"1.436"
"2011-08";"5J";"0.572"
"2011-08";"10J";"1.133"
"2011-09";"5J";"0.393"
"2011-09";"10J";"1.003"
"2011-10";"5J";"0.423"
"2011-10";"10J";"1.082"
"2011-11";"5J";"0.326"
"2011-11";"10J";"0.945"
"2011-12";"5J";"0.199"
"2011-12";"10J";"0.74"
"2012-01";"5J";"0.249"
"2012-01";"10J";"0.735"
"2012-02";"5J";"0.192"
"2012-02";"10J";"0.72"
"2012-03";"5J";"0.313"
"2012-03";"10J";"0.854"
"2012-04";"5J";"0.211"
"2012-04";"10J";"0.735"
"2012-05";"5J";"0.067"
"2012-05";"10J";"0.61"
"2012-06";"5J";"0.069"
"2012-06";"10J";"0.678"
"2012-07";"5J";"-0.043"
"2012-07";"10J";"0.561"
"2012-08";"5J";"-0.05"
"2012-08";"10J";"0.569"
"2012-09";"5J";"0.043"
"2012-09";"10J";"0.599"
"2012-10";"5J";"0.034"
"2012-10";"10J";"0.597"
"2012-11";"5J";"-0.016"
"2012-11";"10J";"0.53"
"2012-12";"5J";"0.017"
"2012-12";"10J";"0.557"
"2013-01";"5J";"0.282"
"2013-01";"10J";"0.789"
"2013-02";"5J";"0.167"
"2013-02";"10J";"0.721"
"2013-03";"5J";"0.145"
"2013-03";"10J";"0.747"
"2013-04";"5J";"0.048"
"2013-04";"10J";"0.612"
"2013-05";"5J";"0.176"
"2013-05";"10J";"0.76"
"2013-06";"5J";"0.407"
"2013-06";"10J";"1.06"
"2013-07";"5J";"0.4"
"2013-07";"10J";"1.097"
"2013-08";"5J";"0.42"
"2013-08";"10J";"1.142"
"2013-09";"5J";"0.362"
"2013-09";"10J";"1.11"
"2013-10";"5J";"0.328"
"2013-10";"10J";"1.07"
"2013-11";"5J";"0.266"
"2013-11";"10J";"1.031"
"2013-12";"5J";"0.419"
"2013-12";"10J";"1.253"
"2014-01";"5J";"0.196"
"2014-01";"10J";"0.983"
"2014-02";"5J";"0.206"
"2014-02";"10J";"0.951"
"2014-03";"5J";"0.227"
"2014-03";"10J";"0.955"
"2014-04";"5J";"0.174"
"2014-04";"10J";"0.86"
"2014-05";"5J";"0.114"
"2014-05";"10J";"0.77"
"2014-06";"5J";"0.117"
"2014-06";"10J";"0.714"
"2014-07";"5J";"0.082"
"2014-07";"10J";"0.616"
"2014-08";"5J";"0.073"
"2014-08";"10J";"0.529"
"2014-09";"5J";"0.069"
"2014-09";"10J";"0.589"
"2014-10";"5J";"0.082"
"2014-10";"10J";"0.558"
"2014-11";"5J";"-0.016"
"2014-11";"10J";"0.413"
"2014-12";"5J";"-0.092"
"2014-12";"10J";"0.375"
"2015-01";"5J";"-0.541"
"2015-01";"10J";"-0.067"
"2015-02";"5J";"-0.48"
"2015-02";"10J";"0.015"
"2015-03";"5J";"-0.475"
"2015-03";"10J";"-0.001"
"2015-04";"5J";"-0.417"
"2015-04";"10J";"0.04"
"2015-05";"5J";"-0.525"
"2015-05";"10J";"-0.031"
"2015-06";"5J";"-0.523"
"2015-06";"10J";"0.101"
"2015-07";"5J";"-0.545"
"2015-07";"10J";"-0.035"
"2015-08";"5J";"-0.555"
"2015-08";"10J";"-0.124"
"2015-09";"5J";"-0.577"
"2015-09";"10J";"-0.1"
"2015-10";"5J";"-0.739"
"2015-10";"10J";"-0.272"
"2015-11";"5J";"-0.875"
"2015-11";"10J";"-0.311"
"2015-12";"5J";"-0.533"
"2015-12";"10J";"-0.039"
"2016-01";"5J";"-0.729"
"2016-01";"10J";"-0.299"
"2016-02";"5J";"-0.9"
"2016-02";"10J";"-0.453"
"2016-03";"5J";"-0.74"
"2016-03";"10J";"-0.387"
"2016-04";"5J";"-0.745"
"2016-04";"10J";"-0.245"
"2016-05";"5J";"-0.758"
"2016-05";"10J";"-0.298"
"2016-06";"5J";"-0.982"
"2016-06";"10J";"-0.508"
"2016-07";"5J";"-0.92"
"2016-07";"10J";"-0.543"
"2016-08";"5J";"-0.822"
"2016-08";"10J";"-0.462"
"2016-09";"5J";"-0.881"
"2016-09";"10J";"-0.522"
"2016-10";"5J";"-0.777"
"2016-10";"10J";"-0.362"
"2016-11";"5J";"-0.65"
"2016-11";"10J";"-0.13"
"2016-12";"5J";"-0.655"
"2016-12";"10J";"-0.135"
"2017-01";"5J";"-0.626"
"2017-01";"10J";"-0.072"
"2017-02";"5J";"-0.752"
"2017-02";"10J";"-0.213"
"2017-03";"5J";"-0.594"
"2017-03";"10J";"-0.1"
"2017-04";"5J";"-0.589"
"2017-04";"10J";"-0.096"
"2017-05";"5J";"-0.659"
"2017-05";"10J";"-0.145"
"2017-06";"5J";"-0.5"
"2017-06";"10J";"-0.025"
"2017-07";"5J";"-0.419"
"2017-07";"10J";"0.06"
"2017-08";"5J";"-0.581"
"2017-08";"10J";"-0.114"
"2017-09";"5J";"-0.488"
"2017-09";"10J";"0.017"
"2017-10";"5J";"-0.524"
"2017-10";"10J";"-0.029"
"2017-11";"5J";"-0.507"
"2017-11";"10J";"-0.053"
"2017-12";"5J";"-0.519"
"2017-12";"10J";"-0.095"
"2018-01";"5J";"-0.426"
"2018-01";"10J";"0.103"
"2018-02";"5J";"-0.474"
"2018-02";"10J";"0.116"
"2018-03";"5J";"-0.529"
"2018-03";"10J";"0.054"
"2018-04";"5J";"-0.423"
"2018-04";"10J";"0.12"
"2018-05";"5J";"-0.562"
"2018-05";"10J";"-0.008"
"2018-06";"5J";"-0.512"
"2018-06";"10J";"-0.012"
"2018-07";"5J";"-0.4"
"2018-07";"10J";"0.042"
"2018-08";"5J";"-0.483"
"2018-08";"10J";"-0.032"
"2018-09";"5J";"-0.351"
"2018-09";"10J";"0.113"
"2018-10";"5J";"-0.412"
"2018-10";"10J";"0.071"
"2018-11";"5J";"-0.5"
"2018-11";"10J";"-0.015"
"2018-12";"5J";"-0.6"
"2018-12";"10J";"-0.154"
"2019-01";"5J";"-0.625"
"2019-01";"10J";"-0.21"
"2019-02";"5J";"-0.632"
"2019-02";"10J";"-0.236"
"2019-03";"5J";"-0.745"
"2019-03";"10J";"-0.352"
"2019-04";"5J";"-0.684"
"2019-04";"10J";"-0.267"
"2019-05";"5J";"-0.836"
"2019-05";"10J";"-0.445"
"2019-06";"5J";"-0.88"
"2019-06";"10J";"-0.482"
"2019-07";"5J";"-1.006"
"2019-07";"10J";"-0.654"
"2019-08";"5J";"-1.158"
"2019-08";"10J";"-0.975"
"2019-09";"5J";"-0.904"
"2019-09";"10J";"-0.7"
"2019-10";"5J";"-0.746"
"2019-10";"10J";"-0.511"
"2019-11";"5J";"-0.782"
"2019-11";"10J";"-0.58"
"2019-12";"5J";"-0.682"
"2019-12";"10J";"-0.456"
"2020-01";"5J";"-0.84"
"2020-01";"10J";"-0.698"
"2020-02";"5J";"-0.936"
"2020-02";"10J";"-0.832"
"2020-03";"5J";"-0.573"
"2020-03";"10J";"-0.368"
"2020-04";"5J";"-0.669"
"2020-04";"10J";"-0.487"
"2020-05";"5J";"-0.634"
"2020-05";"10J";"-0.471"
"2020-06";"5J";"-0.622"
