"CubeId";"zimoma"
"PublishingDate";"2026-06-01 14:30"

"Date";"D0";"Value"
"1992-03";"SARON";
"1992-03";"3M0";"8.9375"
"1992-04";"SARON";
"1992-04";"3M0";"8.875"
"1992-05";"SARON";
"1992-05";"3M0";"9.4375"
"1992-06";"SARON";
"1992-06";"3M0";"9.25"
"1992-07";"SARON";
"1992-07";"3M0";"8.625"
"1992-08";"SARON";
"1992-08";"3M0";"7.875"
"1992-09";"SARON";
"1992-09";"3M0";"6.98438"
"1992-10";"SARON";
"1992-10";"3M0";"6.375"
"1992-11";"SARON";
"1992-11";"3M0";"6.70313"
"1992-12";"SARON";
"1992-12";"3M0";"6"
"1993-01";"SARON";
"1993-01";"3M0";"5.4375"
"1993-02";"SARON";
"1993-02";"3M0";"5.5"
"1993-03";"SARON";
"1993-03";"3M0";"5.1875"
"1993-04";"SARON";
"1993-04";"3M0";"5.125"
"1993-05";"SARON";
"1993-05";"3M0";"5.15625"
"1993-06";"SARON";
"1993-06";"3M0";"5.03125"
"1993-07";"SARON";
"1993-07";"3M0";"4.6875"
"1993-08";"SARON";
"1993-08";"3M0";"4.8125"
"1993-09";"SARON";
"1993-09";"3M0";"4.75"
"1993-10";"SARON";
"1993-10";"3M0";"4.5625"
"1993-11";"SARON";
"1993-11";"3M0";"4.5"
"1993-12";"SARON";
"1993-12";"3M0";"4.125"
"1994-01";"SARON";
"1994-01";"3M0";"4.07813"
"1994-02";"SARON";
"1994-02";"3M0";"4.17188"
"1994-03";"SARON";
"1994-03";"3M0";"4.1875"
"1994-04";"SARON";
"1994-04";"3M0";"4"
"1994-05";"SARON";
"1994-05";"3M0";"4.25"
"1994-06";"SARON";
"1994-06";"3M0";"4.32813"
"1994-07";"SARON";
"1994-07";"3M0";"4.375"
"1994-08";"SARON";
"1994-08";"3M0";"4.3125"
"1994-09";"SARON";
"1994-09";"3M0";"4.1875"
"1994-10";"SARON";
"1994-10";"3M0";"4.0625"
"1994-11";"SARON";
"1994-11";"3M0";"4.01563"
"1994-12";"SARON";
"1994-12";"3M0";"4.29688"
"1995-01";"SARON";
"1995-01";"3M0";"4"
"1995-02";"SARON";
"1995-02";"3M0";"3.875"
"1995-03";"SARON";
"1995-03";"3M0";"3.5"
"1995-04";"SARON";
"1995-04";"3M0";"3.5"
"1995-05";"SARON";
"1995-05";"3M0";"3.26563"
"1995-06";"SARON";
"1995-06";"3M0";"3.125"
"1995-07";"SARON";
"1995-07";"3M0";"2.73438"
"1995-08";"SARON";
"1995-08";"3M0";"2.875"
"1995-09";"SARON";
"1995-09";"3M0";"2.48438"
"1995-10";"SARON";
"1995-10";"3M0";"2.07813"
"1995-11";"SARON";
"1995-11";"3M0";"2.125"
"1995-12";"SARON";
"1995-12";"3M0";"1.8125"
"1996-01";"SARON";
"1996-01";"3M0";"1.76563"
"1996-02";"SARON";
"1996-02";"3M0";"1.625"
"1996-03";"SARON";
"1996-03";"3M0";"1.79688"
"1996-04";"SARON";
"1996-04";"3M0";"1.875"
"1996-05";"SARON";
"1996-05";"3M0";"2.625"
"1996-06";"SARON";
"1996-06";"3M0";"2.5625"
"1996-07";"SARON";
"1996-07";"3M0";"2.5625"
"1996-08";"SARON";
"1996-08";"3M0";"2.17188"
"1996-09";"SARON";
"1996-09";"3M0";"1.5"
"1996-10";"SARON";
"1996-10";"3M0";"1.8125"
"1996-11";"SARON";
"1996-11";"3M0";"2.0625"
"1996-12";"SARON";
"1996-12";"3M0";"1.875"
"1997-01";"SARON";
"1997-01";"3M0";"1.73438"
"1997-02";"SARON";
"1997-02";"3M0";"1.75"
"1997-03";"SARON";
"1997-03";"3M0";"1.875"
"1997-04";"SARON";
"1997-04";"3M0";"1.8125"
"1997-05";"SARON";
"1997-05";"3M0";"1.125"
"1997-06";"SARON";
"1997-06";"3M0";"1.4375"
"1997-07";"SARON";
"1997-07";"3M0";"1.5625"
"1997-08";"SARON";
"1997-08";"3M0";"1.375"
"1997-09";"SARON";
"1997-09";"3M0";"1.59375"
"1997-10";"SARON";
"1997-10";"3M0";"1.96094"
"1997-11";"SARON";
"1997-11";"3M0";"1.92969"
"1997-12";"SARON";
"1997-12";"3M0";"1.5"
"1998-01";"SARON";
"1998-01";"3M0";"1.1875"
"1998-02";"SARON";
"1998-02";"3M0";"1"
"1998-03";"SARON";
"1998-03";"3M0";"1.48438"
"1998-04";"SARON";
"1998-04";"3M0";"1.53125"
"1998-05";"SARON";
"1998-05";"3M0";"1.6875"
"1998-06";"SARON";
"1998-06";"3M0";"2.15625"
"1998-07";"SARON";
"1998-07";"3M0";"1.94141"
"1998-08";"SARON";
"1998-08";"3M0";"1.61328"
"1998-09";"SARON";
"1998-09";"3M0";"1.57422"
"1998-10";"SARON";
"1998-10";"3M0";"1.25625"
"1998-11";"SARON";
"1998-11";"3M0";"1.75"
"1998-12";"SARON";
"1998-12";"3M0";"1.40828"
"1999-01";"SARON";
"1999-01";"3M0";"1.27167"
"1999-02";"SARON";
"1999-02";"3M0";"1.26167"
"1999-03";"SARON";
"1999-03";"3M0";"1.24833"
"1999-04";"SARON";
"1999-04";"3M0";"0.99333"
"1999-05";"SARON";
"1999-05";"3M0";"1.02333"
"1999-06";"SARON";"2.5"
"1999-06";"3M0";"1.22167"
"1999-07";"SARON";"0.65"
"1999-07";"3M0";"1.12333"
"1999-08";"SARON";"0.662654"
"1999-08";"3M0";"1.09667"
"1999-09";"SARON";"1.603778"
"1999-09";"3M0";"1.915"
"1999-10";"SARON";"0.823193"
"1999-10";"3M0";"2.045"
"1999-11";"SARON";"1.078627"
"1999-11";"3M0";"1.86167"
"1999-12";"SARON";"1.437788"
"1999-12";"3M0";"1.84667"
"2000-01";"SARON";"2.28"
"2000-01";"3M0";"2.13167"
"2000-02";"SARON";"1.342026"
"2000-02";"3M0";"2.44167"
"2000-03";"SARON";"2.361749"
"2000-03";"3M0";"2.855"
"2000-04";"SARON";"2.547827"
"2000-04";"3M0";"3.24333"
"2000-05";"SARON";"3.047974"
"2000-05";"3M0";"3.16"
"2000-06";"SARON";"3.054887"
"2000-06";"3M0";"3.39667"
"2000-07";"SARON";"2.778948"
"2000-07";"3M0";"3.44"
"2000-08";"SARON";"3.125945"
"2000-08";"3M0";"3.48667"
"2000-09";"SARON";"2.991287"
"2000-09";"3M0";"3.585"
"2000-10";"SARON";"2.967391"
"2000-10";"3M0";"3.49167"
"2000-11";"SARON";"2.955805"
"2000-11";"3M0";"3.47833"
"2000-12";"SARON";"3.490226"
"2000-12";"3M0";"3.37"
"2001-01";"SARON";"3.308556"
"2001-01";"3M0";"3.42"
"2001-02";"SARON";"3.282052"
"2001-02";"3M0";"3.42833"
"2001-03";"SARON";"3.250111"
"2001-03";"3M0";"3.325"
"2001-04";"SARON";"3.085493"
"2001-04";"3M0";"3.175"
"2001-05";"SARON";"3.275508"
"2001-05";"3M0";"3.205"
"2001-06";"SARON";"3.283814"
"2001-06";"3M0";"3.23667"
"2001-07";"SARON";"3.226346"
"2001-07";"3M0";"3.19"
"2001-08";"SARON";"3.123531"
"2001-08";"3M0";"3.15667"
"2001-09";"SARON";"2.027698"
"2001-09";"3M0";"2.28333"
"2001-10";"SARON";"2.118133"
"2001-10";"3M0";"2.09"
"2001-11";"SARON";"1.960142"
"2001-11";"3M0";"2.00333"
"2001-12";"SARON";"1.469348"
"2001-12";"3M0";"1.83833"
"2002-01";"SARON";"1.203506"
"2002-01";"3M0";"1.69667"
"2002-02";"SARON";"1.571053"
"2002-02";"3M0";"1.73833"
"2002-03";"SARON";"1.202675"
"2002-03";"3M0";"1.635"
"2002-04";"SARON";"1.418686"
"2002-04";"3M0";"1.57"
"2002-05";"SARON";"0.974746"
"2002-05";"3M0";"1.23167"
"2002-06";"SARON";"0.937309"
"2002-06";"3M0";"1.24333"
"2002-07";"SARON";"0.703175"
