"CubeId";"devkum"
"PublishingDate";"2026-06-01 14:30"

"Date";"D0";"D1";"Value"
"2015-10";"M1";"EUR1";"1.08667"
"2015-11";"M1";"EUR1";"1.09055"
"2015-12";"M1";"EUR1";"1.08169"
"2016-01";"M1";"EUR1";"1.11123"
"2016-02";"M1";"EUR1";"1.09145"
"2016-03";"M1";"EUR1";"1.09356"
"2016-04";"M1";"EUR1";"1.09594"
"2016-05";"M1";"EUR1";"1.10358"
"2016-06";"M1";"EUR1";"1.08836"
"2016-07";"M1";"EUR1";"1.08441"
"2016-08";"M1";"EUR1";"1.09561"
"2016-09";"M1";"EUR1";"1.08288"
"2016-10";"M1";"EUR1";"1.08275"
"2016-11";"M1";"EUR1";"1.07818"
"2016-12";"M1";"EUR1";"1.07371"
"2017-01";"M1";"EUR1";"1.06539"
"2017-02";"M1";"EUR1";"1.06478"
"2017-03";"M1";"EUR1";"1.06958"
"2017-04";"M1";"EUR1";"1.08241"
"2017-05";"M1";"EUR1";"1.08883"
"2017-06";"M1";"EUR1";"1.09297"
"2017-07";"M1";"EUR1";"1.13765"
"2017-08";"M1";"EUR1";"1.14606"
"2017-09";"M1";"EUR1";"1.14531"
"2017-10";"M1";"EUR1";"1.16066"
"2017-11";"M1";"EUR1";"1.16782"
"2017-12";"M1";"EUR1";"1.16905"
"2018-01";"M1";"EUR1";"1.16"
"2018-02";"M1";"EUR1";"1.15179"
"2018-03";"M1";"EUR1";"1.1752"
"2018-04";"M1";"EUR1";"1.19776"
"2018-05";"M1";"EUR1";"1.15669"
"2018-06";"M1";"EUR1";"1.15714"
"2018-07";"M1";"EUR1";"1.15843"
"2018-08";"M1";"EUR1";"1.12928"
"2018-09";"M1";"EUR1";"1.13493"
"2018-10";"M1";"EUR1";"1.14034"
"2018-11";"M1";"EUR1";"1.1327"
"2018-12";"M1";"EUR1";"1.1265"
"2019-01";"M1";"EUR1";"1.14065"
"2019-02";"M1";"EUR1";"1.13444"
"2019-03";"M1";"EUR1";"1.11686"
"2019-04";"M1";"EUR1";"1.141"
"2019-05";"M1";"EUR1";"1.12076"
"2019-06";"M1";"EUR1";"1.10934"
"2019-07";"M1";"EUR1";"1.10402"
"2019-08";"M1";"EUR1";"1.09136"
"2019-09";"M1";"EUR1";"1.08585"
"2019-10";"M1";"EUR1";"1.10187"
"2019-11";"M1";"EUR1";"1.10006"
"2019-12";"M1";"EUR1";"1.08584"
"2020-01";"M1";"EUR1";"1.06994"
"2020-02";"M1";"EUR1";"1.06436"
"2020-03";"M1";"EUR1";"1.05882"
"2020-04";"M1";"EUR1";"1.05685"
"2020-05";"M1";"EUR1";"1.06913"
"2020-06";"M1";"EUR1";"1.06791"
"2020-07";"M1";"EUR1";"1.07648"
"2020-08";"M1";"EUR1";"1.07537"
"2020-09";"M1";"EUR1";"1.08069"
"2020-10";"M1";"EUR1";"1.06927"
"2020-11";"M1";"EUR1";"1.08232"
"2020-12";"M1";"EUR1";"1.08216"
"2021-01";"M1";"EUR1";"1.07766"
"2021-02";"M1";"EUR1";"1.09633"
"2021-03";"M1";"EUR1";"1.10646"
"2021-04";"M1";"EUR1";"1.10003"
"2021-05";"M1";"EUR1";"1.09774"
"2021-06";"M1";"EUR1";"1.09701"
"2021-07";"M1";"EUR1";"1.07739"
"2021-08";"M1";"EUR1";"1.08102"
"2021-09";"M1";"EUR1";"1.08444"
"2021-10";"M1";"EUR1";"1.06223"
"2021-11";"M1";"EUR1";"1.04336"
"2021-12";"M1";"EUR1";"1.03391"
"2022-01";"M1";"EUR1";"1.0413"
"2022-02";"M1";"EUR1";"1.03138"
"2022-03";"M1";"EUR1";"1.02939"
"2022-04";"M1";"EUR1";"1.02399"
"2022-05";"M1";"EUR1";"1.03112"
"2022-06";"M1";"EUR1";"0.9978"
"2022-07";"M1";"EUR1";"0.97365"
"2022-08";"M1";"EUR1";"0.97534"
"2022-09";"M1";"EUR1";"0.96029"
"2022-10";"M1";"EUR1";"0.9936"
"2022-11";"M1";"EUR1";"0.98477"
"2022-12";"M1";"EUR1";"0.98386"
"2023-01";"M1";"EUR1";"1.0037"
"2023-02";"M1";"EUR1";"0.99482"
"2023-03";"M1";"EUR1";"0.99775"
"2023-04";"M1";"EUR1";"0.98448"
"2023-05";"M1";"EUR1";"0.97154"
"2023-06";"M1";"EUR1";"0.97665"
"2023-07";"M1";"EUR1";"0.96064"
"2023-08";"M1";"EUR1";"0.95822"
"2023-09";"M1";"EUR1";"0.96523"
"2023-10";"M1";"EUR1";"0.9617"
"2023-11";"M1";"EUR1";"0.95577"
"2023-12";"M1";"EUR1";"0.92809"
"2024-01";"M1";"EUR1";"0.93392"
"2024-02";"M1";"EUR1";"0.95274"
"2024-03";"M1";"EUR1";"0.97652"
"2024-04";"M1";"EUR1";"0.9772"
"2024-05";"M1";"EUR1";"0.98163"
"2024-06";"M1";"EUR1";"0.96241"
"2024-07";"M1";"EUR1";"0.95381"
"2024-08";"M1";"EUR1";"0.94005"
"2024-09";"M1";"EUR1";"0.94483"
"2024-10";"M1";"EUR1";"0.94023"
"2024-11";"M1";"EUR1";"0.93031"
"2024-12";"M1";"EUR1";"0.94185"
"2025-01";"M1";"EUR1";"0.94563"
"2025-02";"M1";"EUR1";"0.93762"
"2025-03";"M1";"EUR1";"0.95353"
"2025-04";"M1";"EUR1";"0.93879"
"2025-05";"M1";"EUR1";"0.93326"
"2025-06";"M1";"EUR1";"0.93546"
"2025-07";"M1";"EUR1";"0.93053"
"2025-08";"M1";"EUR1";"0.93482"
"2025-09";"M1";"EUR1";"0.9359"
"2025-10";"M1";"EUR1";"0.92781"
"2025-11";"M1";"EUR1";"0.93303"
"2025-12";"M1";"EUR1";"0.9311"
"2026-01";"M1";"EUR1";"0.91637"
"2026-02";"M1";"EUR1";"0.91171"
"2026-03";"M1";"EUR1";"0.91752"
"2026-04";"M1";"EUR1";"0.92225"
"2026-05";"M1";"EUR1";"0.91206"
