Division économique,Taux d'occupation,Sexe,Trimestre,"Emplois selon la division économique, le taux d'occupation et le sexe"
21 Industrie pharmaceutique,Temps partiel,Homme,2005Q3,638
21 Industrie pharmaceutique,Temps partiel,Homme,2005Q4,634
21 Industrie pharmaceutique,Temps partiel,Homme,2006Q1,642
21 Industrie pharmaceutique,Temps partiel,Homme,2006Q2,667
21 Industrie pharmaceutique,Temps partiel,Homme,2006Q3,686
21 Industrie pharmaceutique,Temps partiel,Homme,2006Q4,679
21 Industrie pharmaceutique,Temps partiel,Homme,2007Q1,694
21 Industrie pharmaceutique,Temps partiel,Homme,2007Q2,707
21 Industrie pharmaceutique,Temps partiel,Homme,2007Q3,728
21 Industrie pharmaceutique,Temps partiel,Homme,2007Q4,736
21 Industrie pharmaceutique,Temps partiel,Homme,2008Q1,732
21 Industrie pharmaceutique,Temps partiel,Homme,2008Q2,754
21 Industrie pharmaceutique,Temps partiel,Homme,2008Q3,747
21 Industrie pharmaceutique,Temps partiel,Homme,2008Q4,747
21 Industrie pharmaceutique,Temps partiel,Homme,2009Q1,740
21 Industrie pharmaceutique,Temps partiel,Homme,2009Q2,745
21 Industrie pharmaceutique,Temps partiel,Homme,2009Q3,748
21 Industrie pharmaceutique,Temps partiel,Homme,2009Q4,748
21 Industrie pharmaceutique,Temps partiel,Homme,2010Q1,771
21 Industrie pharmaceutique,Temps partiel,Homme,2010Q2,769
21 Industrie pharmaceutique,Temps partiel,Homme,2010Q3,785
21 Industrie pharmaceutique,Temps partiel,Homme,2010Q4,784
21 Industrie pharmaceutique,Temps partiel,Homme,2011Q1,799
21 Industrie pharmaceutique,Temps partiel,Homme,2011Q2,828
21 Industrie pharmaceutique,Temps partiel,Homme,2011Q3,839
21 Industrie pharmaceutique,Temps partiel,Homme,2011Q4,843
21 Industrie pharmaceutique,Temps partiel,Homme,2012Q1,858
21 Industrie pharmaceutique,Temps partiel,Homme,2012Q2,832
21 Industrie pharmaceutique,Temps partiel,Homme,2012Q3,848
21 Industrie pharmaceutique,Temps partiel,Homme,2012Q4,841
21 Industrie pharmaceutique,Temps partiel,Homme,2013Q1,864
21 Industrie pharmaceutique,Temps partiel,Homme,2013Q2,862
21 Industrie pharmaceutique,Temps partiel,Homme,2013Q3,880
21 Industrie pharmaceutique,Temps partiel,Homme,2013Q4,859
21 Industrie pharmaceutique,Temps partiel,Homme,2014Q1,870
21 Industrie pharmaceutique,Temps partiel,Homme,2014Q2,879
21 Industrie pharmaceutique,Temps partiel,Homme,2014Q3,890
21 Industrie pharmaceutique,Temps partiel,Homme,2014Q4,914
21 Industrie pharmaceutique,Temps partiel,Homme,2015Q1,940
21 Industrie pharmaceutique,Temps partiel,Homme,2015Q2,970
21 Industrie pharmaceutique,Temps partiel,Homme,2015Q3,913
21 Industrie pharmaceutique,Temps partiel,Homme,2015Q4,949
21 Industrie pharmaceutique,Temps partiel,Homme,2016Q1,979
21 Industrie pharmaceutique,Temps partiel,Homme,2016Q2,991
21 Industrie pharmaceutique,Temps partiel,Homme,2016Q3,948
21 Industrie pharmaceutique,Temps partiel,Homme,2016Q4,1035
21 Industrie pharmaceutique,Temps partiel,Homme,2017Q1,1051
21 Industrie pharmaceutique,Temps partiel,Homme,2017Q2,1056
21 Industrie pharmaceutique,Temps partiel,Homme,2017Q3,1021
21 Industrie pharmaceutique,Temps partiel,Homme,2017Q4,1071
21 Industrie pharmaceutique,Temps partiel,Homme,2018Q1,1028
21 Industrie pharmaceutique,Temps partiel,Homme,2018Q2,988
21 Industrie pharmaceutique,Temps partiel,Homme,2018Q3,974
21 Industrie pharmaceutique,Temps partiel,Homme,2018Q4,1042
21 Industrie pharmaceutique,Temps partiel,Femme,2005Q2,3453
21 Industrie pharmaceutique,Temps partiel,Femme,2005Q3,3636
21 Industrie pharmaceutique,Temps partiel,Femme,2005Q4,3626
21 Industrie pharmaceutique,Temps partiel,Femme,2006Q1,3629
21 Industrie pharmaceutique,Temps partiel,Femme,2006Q2,3757
21 Industrie pharmaceutique,Temps partiel,Femme,2006Q3,3753
21 Industrie pharmaceutique,Temps partiel,Femme,2006Q4,3674
21 Industrie pharmaceutique,Temps partiel,Femme,2007Q1,3734
21 Industrie pharmaceutique,Temps partiel,Femme,2007Q2,3806
21 Industrie pharmaceutique,Temps partiel,Femme,2007Q3,3868
21 Industrie pharmaceutique,Temps partiel,Femme,2007Q4,3876
21 Industrie pharmaceutique,Temps partiel,Femme,2008Q1,3883
21 Industrie pharmaceutique,Temps partiel,Femme,2008Q2,4017
21 Industrie pharmaceutique,Temps partiel,Femme,2008Q3,4040
21 Industrie pharmaceutique,Temps partiel,Femme,2008Q4,4067
21 Industrie pharmaceutique,Temps partiel,Femme,2009Q1,4104
21 Industrie pharmaceutique,Temps partiel,Femme,2009Q2,4156
21 Industrie pharmaceutique,Temps partiel,Femme,2009Q3,4187
21 Industrie pharmaceutique,Temps partiel,Femme,2009Q4,4178
21 Industrie pharmaceutique,Temps partiel,Femme,2010Q1,4321
21 Industrie pharmaceutique,Temps partiel,Femme,2010Q2,4307
21 Industrie pharmaceutique,Temps partiel,Femme,2010Q3,4409
21 Industrie pharmaceutique,Temps partiel,Femme,2010Q4,4452
21 Industrie pharmaceutique,Temps partiel,Femme,2011Q1,4414
21 Industrie pharmaceutique,Temps partiel,Femme,2011Q2,4499
21 Industrie pharmaceutique,Temps partiel,Femme,2011Q3,4494
21 Industrie pharmaceutique,Temps partiel,Femme,2011Q4,4469
21 Industrie pharmaceutique,Temps partiel,Femme,2012Q1,4703
21 Industrie pharmaceutique,Temps partiel,Femme,2012Q2,4719
21 Industrie pharmaceutique,Temps partiel,Femme,2012Q3,4656
21 Industrie pharmaceutique,Temps partiel,Femme,2012Q4,4663
21 Industrie pharmaceutique,Temps partiel,Femme,2013Q1,4667
21 Industrie pharmaceutique,Temps partiel,Femme,2013Q2,4647
21 Industrie pharmaceutique,Temps partiel,Femme,2013Q3,4722
21 Industrie pharmaceutique,Temps partiel,Femme,2013Q4,4715
21 Industrie pharmaceutique,Temps partiel,Femme,2014Q1,4782
21 Industrie pharmaceutique,Temps partiel,Femme,2014Q2,4833
21 Industrie pharmaceutique,Temps partiel,Femme,2014Q3,4817
21 Industrie pharmaceutique,Temps partiel,Femme,2014Q4,4874
21 Industrie pharmaceutique,Temps partiel,Femme,2015Q1,4948
21 Industrie pharmaceutique,Temps partiel,Femme,2015Q2,4950
21 Industrie pharmaceutique,Temps partiel,Femme,2015Q3,4958
21 Industrie pharmaceutique,Temps partiel,Femme,2015Q4,4986
21 Industrie pharmaceutique,Temps partiel,Femme,2016Q1,4958
21 Industrie pharmaceutique,Temps partiel,Femme,2016Q2,5017
21 Industrie pharmaceutique,Temps partiel,Femme,2016Q3,5150
21 Industrie pharmaceutique,Temps partiel,Femme,2016Q4,5043
21 Industrie pharmaceutique,Temps partiel,Femme,2017Q1,5217
21 Industrie pharmaceutique,Temps partiel,Femme,2017Q2,5192
21 Industrie pharmaceutique,Temps partiel,Femme,2017Q3,5146
21 Industrie pharmaceutique,Temps partiel,Femme,2017Q4,5232
21 Industrie pharmaceutique,Temps partiel,Femme,2018Q1,5309
21 Industrie pharmaceutique,Temps partiel,Femme,2018Q2,5168
21 Industrie pharmaceutique,Temps partiel,Femme,2018Q3,5105
21 Industrie pharmaceutique,Temps partiel,Femme,2018Q4,5135
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2005Q2,3309
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2005Q3,3511
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2005Q4,3506
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2006Q1,3491
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2006Q2,3623
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2006Q3,3636
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2006Q4,3548
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2007Q1,3573
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2007Q2,3659
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2007Q3,3727
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2007Q4,3770
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2008Q1,3775
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2008Q2,3928
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2008Q3,3921
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2008Q4,3938
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2009Q1,3986
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2009Q2,4020
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2009Q3,4085
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2009Q4,4114
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2010Q1,4244
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2010Q2,4240
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2010Q3,4360
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2010Q4,4424
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2011Q1,4399
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2011Q2,4481
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2011Q3,4503
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2011Q4,4490
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2012Q1,4634
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2012Q2,4624
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2012Q3,4579
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2012Q4,4565
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2013Q1,4616
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2013Q2,4619
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2013Q3,4711
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2013Q4,4687
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2014Q1,4777
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2014Q2,4839
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2014Q3,4811
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2014Q4,4866
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2015Q1,4962
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2015Q2,5003
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2015Q3,4984
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2015Q4,5061
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2016Q1,5064
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2016Q2,5101
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2016Q3,5091
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2016Q4,5171
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2017Q1,5317
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2017Q2,5293
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2017Q3,5271
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2017Q4,5316
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2018Q1,5426
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2018Q2,5350
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2018Q3,5327
21 Industrie pharmaceutique,Temps partiel I,Sexe - total,2018Q4,5410
21 Industrie pharmaceutique,Temps partiel I,Homme,2005Q2,478
21 Industrie pharmaceutique,Temps partiel I,Homme,2005Q3,489
21 Industrie pharmaceutique,Temps partiel I,Homme,2005Q4,485
21 Industrie pharmaceutique,Temps partiel I,Homme,2006Q1,493
21 Industrie pharmaceutique,Temps partiel I,Homme,2006Q2,517
21 Industrie pharmaceutique,Temps partiel I,Homme,2006Q3,528
21 Industrie pharmaceutique,Temps partiel I,Homme,2006Q4,521
21 Industrie pharmaceutique,Temps partiel I,Homme,2007Q1,525
21 Industrie pharmaceutique,Temps partiel I,Homme,2007Q2,536
21 Industrie pharmaceutique,Temps partiel I,Homme,2007Q3,549
21 Industrie pharmaceutique,Temps partiel I,Homme,2007Q4,565
21 Industrie pharmaceutique,Temps partiel I,Homme,2008Q1,554
21 Industrie pharmaceutique,Temps partiel I,Homme,2008Q2,563
21 Industrie pharmaceutique,Temps partiel I,Homme,2008Q3,555
21 Industrie pharmaceutique,Temps partiel I,Homme,2008Q4,557
21 Industrie pharmaceutique,Temps partiel I,Homme,2009Q1,546
21 Industrie pharmaceutique,Temps partiel I,Homme,2009Q2,550
21 Industrie pharmaceutique,Temps partiel I,Homme,2009Q3,558
21 Industrie pharmaceutique,Temps partiel I,Homme,2009Q4,566
21 Industrie pharmaceutique,Temps partiel I,Homme,2010Q1,582
21 Industrie pharmaceutique,Temps partiel I,Homme,2010Q2,584
21 Industrie pharmaceutique,Temps partiel I,Homme,2010Q3,607
21 Industrie pharmaceutique,Temps partiel I,Homme,2010Q4,614
21 Industrie pharmaceutique,Temps partiel I,Homme,2011Q1,626
21 Industrie pharmaceutique,Temps partiel I,Homme,2011Q2,645
21 Industrie pharmaceutique,Temps partiel I,Homme,2011Q3,664
21 Industrie pharmaceutique,Temps partiel I,Homme,2011Q4,669
21 Industrie pharmaceutique,Temps partiel I,Homme,2012Q1,682
21 Industrie pharmaceutique,Temps partiel I,Homme,2012Q2,658
21 Industrie pharmaceutique,Temps partiel I,Homme,2012Q3,663
21 Industrie pharmaceutique,Temps partiel I,Homme,2012Q4,655
21 Industrie pharmaceutique,Temps partiel I,Homme,2013Q1,682
21 Industrie pharmaceutique,Temps partiel I,Homme,2013Q2,677
21 Industrie pharmaceutique,Temps partiel I,Homme,2013Q3,700
21 Industrie pharmaceutique,Temps partiel I,Homme,2013Q4,686
21 Industrie pharmaceutique,Temps partiel I,Homme,2014Q1,696
21 Industrie pharmaceutique,Temps partiel I,Homme,2014Q2,709
21 Industrie pharmaceutique,Temps partiel I,Homme,2014Q3,703
21 Industrie pharmaceutique,Temps partiel I,Homme,2014Q4,719
21 Industrie pharmaceutique,Temps partiel I,Homme,2015Q1,744
21 Industrie pharmaceutique,Temps partiel I,Homme,2015Q2,774
21 Industrie pharmaceutique,Temps partiel I,Homme,2015Q3,727
21 Industrie pharmaceutique,Temps partiel I,Homme,2015Q4,745
21 Industrie pharmaceutique,Temps partiel I,Homme,2016Q1,778
21 Industrie pharmaceutique,Temps partiel I,Homme,2016Q2,790
21 Industrie pharmaceutique,Temps partiel I,Homme,2016Q3,735
21 Industrie pharmaceutique,Temps partiel I,Homme,2016Q4,837
21 Industrie pharmaceutique,Temps partiel I,Homme,2017Q1,845
21 Industrie pharmaceutique,Temps partiel I,Homme,2017Q2,835
21 Industrie pharmaceutique,Temps partiel I,Homme,2017Q3,828
21 Industrie pharmaceutique,Temps partiel I,Homme,2017Q4,848
21 Industrie pharmaceutique,Temps partiel I,Homme,2018Q1,810
21 Industrie pharmaceutique,Temps partiel I,Homme,2018Q2,816
21 Industrie pharmaceutique,Temps partiel I,Homme,2018Q3,814
21 Industrie pharmaceutique,Temps partiel I,Homme,2018Q4,889
21 Industrie pharmaceutique,Temps partiel I,Femme,2005Q2,2831
21 Industrie pharmaceutique,Temps partiel I,Femme,2005Q3,3021
21 Industrie pharmaceutique,Temps partiel I,Femme,2005Q4,3021
21 Industrie pharmaceutique,Temps partiel I,Femme,2006Q1,2998
21 Industrie pharmaceutique,Temps partiel I,Femme,2006Q2,3106
21 Industrie pharmaceutique,Temps partiel I,Femme,2006Q3,3108
21 Industrie pharmaceutique,Temps partiel I,Femme,2006Q4,3027
21 Industrie pharmaceutique,Temps partiel I,Femme,2007Q1,3048
21 Industrie pharmaceutique,Temps partiel I,Femme,2007Q2,3123
21 Industrie pharmaceutique,Temps partiel I,Femme,2007Q3,3178
21 Industrie pharmaceutique,Temps partiel I,Femme,2007Q4,3206
21 Industrie pharmaceutique,Temps partiel I,Femme,2008Q1,3221
21 Industrie pharmaceutique,Temps partiel I,Femme,2008Q2,3364
21 Industrie pharmaceutique,Temps partiel I,Femme,2008Q3,3365
21 Industrie pharmaceutique,Temps partiel I,Femme,2008Q4,3380
21 Industrie pharmaceutique,Temps partiel I,Femme,2009Q1,3440
21 Industrie pharmaceutique,Temps partiel I,Femme,2009Q2,3470
21 Industrie pharmaceutique,Temps partiel I,Femme,2009Q3,3527
21 Industrie pharmaceutique,Temps partiel I,Femme,2009Q4,3548
21 Industrie pharmaceutique,Temps partiel I,Femme,2010Q1,3662
21 Industrie pharmaceutique,Temps partiel I,Femme,2010Q2,3656
21 Industrie pharmaceutique,Temps partiel I,Femme,2010Q3,3753
21 Industrie pharmaceutique,Temps partiel I,Femme,2010Q4,3809
21 Industrie pharmaceutique,Temps partiel I,Femme,2011Q1,3773
21 Industrie pharmaceutique,Temps partiel I,Femme,2011Q2,3836
21 Industrie pharmaceutique,Temps partiel I,Femme,2011Q3,3840
21 Industrie pharmaceutique,Temps partiel I,Femme,2011Q4,3821
21 Industrie pharmaceutique,Temps partiel I,Femme,2012Q1,3953
21 Industrie pharmaceutique,Temps partiel I,Femme,2012Q2,3965
21 Industrie pharmaceutique,Temps partiel I,Femme,2012Q3,3916
21 Industrie pharmaceutique,Temps partiel I,Femme,2012Q4,3910
21 Industrie pharmaceutique,Temps partiel I,Femme,2013Q1,3935
21 Industrie pharmaceutique,Temps partiel I,Femme,2013Q2,3942
21 Industrie pharmaceutique,Temps partiel I,Femme,2013Q3,4010
21 Industrie pharmaceutique,Temps partiel I,Femme,2013Q4,4001
21 Industrie pharmaceutique,Temps partiel I,Femme,2014Q1,4080
21 Industrie pharmaceutique,Temps partiel I,Femme,2014Q2,4130
21 Industrie pharmaceutique,Temps partiel I,Femme,2014Q3,4108
21 Industrie pharmaceutique,Temps partiel I,Femme,2014Q4,4147
21 Industrie pharmaceutique,Temps partiel I,Femme,2015Q1,4218
21 Industrie pharmaceutique,Temps partiel I,Femme,2015Q2,4229
21 Industrie pharmaceutique,Temps partiel I,Femme,2015Q3,4257
21 Industrie pharmaceutique,Temps partiel I,Femme,2015Q4,4317
21 Industrie pharmaceutique,Temps partiel I,Femme,2016Q1,4286
21 Industrie pharmaceutique,Temps partiel I,Femme,2016Q2,4311
21 Industrie pharmaceutique,Temps partiel I,Femme,2016Q3,4356
21 Industrie pharmaceutique,Temps partiel I,Femme,2016Q4,4335
21 Industrie pharmaceutique,Temps partiel I,Femme,2017Q1,4472
21 Industrie pharmaceutique,Temps partiel I,Femme,2017Q2,4458
21 Industrie pharmaceutique,Temps partiel I,Femme,2017Q3,4443
21 Industrie pharmaceutique,Temps partiel I,Femme,2017Q4,4468
21 Industrie pharmaceutique,Temps partiel I,Femme,2018Q1,4616
21 Industrie pharmaceutique,Temps partiel I,Femme,2018Q2,4533
21 Industrie pharmaceutique,Temps partiel I,Femme,2018Q3,4513
21 Industrie pharmaceutique,Temps partiel I,Femme,2018Q4,4522
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2005Q2,711
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2005Q3,701
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2005Q4,692
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2006Q1,718
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2006Q2,737
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2006Q3,739
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2006Q4,741
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2007Q1,790
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2007Q2,787
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2007Q3,801
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2007Q4,775
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2008Q1,772
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2008Q2,773
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2008Q3,795
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2008Q4,806
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2009Q1,787
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2009Q2,810
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2009Q3,778
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2009Q4,741
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2010Q1,774
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2010Q2,762
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2010Q3,758
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2010Q4,736
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2011Q1,738
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2011Q2,769
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2011Q3,752
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2011Q4,745
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2012Q1,846
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2012Q2,846
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2012Q3,844
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2012Q4,858
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2013Q1,833
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2013Q2,808
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2013Q3,808
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2013Q4,804
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2014Q1,791
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2014Q2,789
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2014Q3,811
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2014Q4,836
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2015Q1,840
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2015Q2,831
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2015Q3,814
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2015Q4,796
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2016Q1,801
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2016Q2,827
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2016Q3,881
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2016Q4,822
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2017Q1,871
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2017Q2,910
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2017Q3,855
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2017Q4,894
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2018Q1,825
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2018Q2,719
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2018Q3,676
21 Industrie pharmaceutique,Temps partiel II,Sexe - total,2018Q4,670
21 Industrie pharmaceutique,Temps partiel II,Homme,2005Q2,130
21 Industrie pharmaceutique,Temps partiel II,Homme,2005Q3,132
21 Industrie pharmaceutique,Temps partiel II,Homme,2005Q4,132
21 Industrie pharmaceutique,Temps partiel II,Homme,2006Q1,132
21 Industrie pharmaceutique,Temps partiel II,Homme,2006Q2,133
21 Industrie pharmaceutique,Temps partiel II,Homme,2006Q3,141
21 Industrie pharmaceutique,Temps partiel II,Homme,2006Q4,141
21 Industrie pharmaceutique,Temps partiel II,Homme,2007Q1,152
21 Industrie pharmaceutique,Temps partiel II,Homme,2007Q2,153
21 Industrie pharmaceutique,Temps partiel II,Homme,2007Q3,161
21 Industrie pharmaceutique,Temps partiel II,Homme,2007Q4,154
21 Industrie pharmaceutique,Temps partiel II,Homme,2008Q1,161
21 Industrie pharmaceutique,Temps partiel II,Homme,2008Q2,172
21 Industrie pharmaceutique,Temps partiel II,Homme,2008Q3,173
21 Industrie pharmaceutique,Temps partiel II,Homme,2008Q4,171
21 Industrie pharmaceutique,Temps partiel II,Homme,2009Q1,176
21 Industrie pharmaceutique,Temps partiel II,Homme,2009Q2,177
21 Industrie pharmaceutique,Temps partiel II,Homme,2009Q3,172
21 Industrie pharmaceutique,Temps partiel II,Homme,2009Q4,164
21 Industrie pharmaceutique,Temps partiel II,Homme,2010Q1,170
21 Industrie pharmaceutique,Temps partiel II,Homme,2010Q2,166
21 Industrie pharmaceutique,Temps partiel II,Homme,2010Q3,158
21 Industrie pharmaceutique,Temps partiel II,Homme,2010Q4,150
21 Industrie pharmaceutique,Temps partiel II,Homme,2011Q1,153
21 Industrie pharmaceutique,Temps partiel II,Homme,2011Q2,163
21 Industrie pharmaceutique,Temps partiel II,Homme,2011Q3,156
21 Industrie pharmaceutique,Temps partiel II,Homme,2011Q4,154
21 Industrie pharmaceutique,Temps partiel II,Homme,2012Q1,156
21 Industrie pharmaceutique,Temps partiel II,Homme,2012Q2,153
21 Industrie pharmaceutique,Temps partiel II,Homme,2012Q3,164
21 Industrie pharmaceutique,Temps partiel II,Homme,2012Q4,165
21 Industrie pharmaceutique,Temps partiel II,Homme,2013Q1,162
21 Industrie pharmaceutique,Temps partiel II,Homme,2013Q2,164
21 Industrie pharmaceutique,Temps partiel II,Homme,2013Q3,159
21 Industrie pharmaceutique,Temps partiel II,Homme,2013Q4,152
21 Industrie pharmaceutique,Temps partiel II,Homme,2014Q1,152
21 Industrie pharmaceutique,Temps partiel II,Homme,2014Q2,149
21 Industrie pharmaceutique,Temps partiel II,Homme,2014Q3,166
21 Industrie pharmaceutique,Temps partiel II,Homme,2014Q4,174
21 Industrie pharmaceutique,Temps partiel II,Homme,2015Q1,174
21 Industrie pharmaceutique,Temps partiel II,Homme,2015Q2,175
21 Industrie pharmaceutique,Temps partiel II,Homme,2015Q3,166
21 Industrie pharmaceutique,Temps partiel II,Homme,2015Q4,185
21 Industrie pharmaceutique,Temps partiel II,Homme,2016Q1,185
21 Industrie pharmaceutique,Temps partiel II,Homme,2016Q2,184
21 Industrie pharmaceutique,Temps partiel II,Homme,2016Q3,166
21 Industrie pharmaceutique,Temps partiel II,Homme,2016Q4,176
21 Industrie pharmaceutique,Temps partiel II,Homme,2017Q1,185
21 Industrie pharmaceutique,Temps partiel II,Homme,2017Q2,201
21 Industrie pharmaceutique,Temps partiel II,Homme,2017Q3,174
21 Industrie pharmaceutique,Temps partiel II,Homme,2017Q4,189
21 Industrie pharmaceutique,Temps partiel II,Homme,2018Q1,186
21 Industrie pharmaceutique,Temps partiel II,Homme,2018Q2,139
21 Industrie pharmaceutique,Temps partiel II,Homme,2018Q3,131
21 Industrie pharmaceutique,Temps partiel II,Homme,2018Q4,123
21 Industrie pharmaceutique,Temps partiel II,Femme,2005Q2,581
21 Industrie pharmaceutique,Temps partiel II,Femme,2005Q3,569
21 Industrie pharmaceutique,Temps partiel II,Femme,2005Q4,560
21 Industrie pharmaceutique,Temps partiel II,Femme,2006Q1,586
21 Industrie pharmaceutique,Temps partiel II,Femme,2006Q2,604
21 Industrie pharmaceutique,Temps partiel II,Femme,2006Q3,598
21 Industrie pharmaceutique,Temps partiel II,Femme,2006Q4,600
21 Industrie pharmaceutique,Temps partiel II,Femme,2007Q1,639
21 Industrie pharmaceutique,Temps partiel II,Femme,2007Q2,634
21 Industrie pharmaceutique,Temps partiel II,Femme,2007Q3,640
21 Industrie pharmaceutique,Temps partiel II,Femme,2007Q4,621
21 Industrie pharmaceutique,Temps partiel II,Femme,2008Q1,612
21 Industrie pharmaceutique,Temps partiel II,Femme,2008Q2,601
21 Industrie pharmaceutique,Temps partiel II,Femme,2008Q3,622
