structure,type,seas_adj,date,value
gdp,nom,csa,2019-01-01,182301.706998529
gdp,nom,csa,2019-04-01,183293.101862135
gdp,nom,csa,2019-07-01,183415.842404751
gdp,nom,csa,2019-10-01,183226.919281413
gdp,nom,csa,2020-01-01,180351.76277699
gdp,nom,csa,2020-04-01,168537.877158197
gdp,nom,csa,2020-07-01,179107.164914332
gdp,nom,csa,2020-10-01,181462.387776952
gdp,nom,csa,2021-01-01,183621.115869526
gdp,nom,csa,2021-04-01,190367.32325751
gdp,nom,csa,2021-07-01,195525.382661496
gdp,nom,csa,2021-10-01,198194.481310173
gdp,nom,csa,2022-01-01,201222.532396518
gdp,nom,csa,2022-04-01,204262.536140268
gdp,nom,csa,2022-07-01,206412.516430924
gdp,nom,csa,2022-10-01,207673.622129342
gdp,nom,csa,2023-01-01,208784.783543252
gdp,nom,csa,2023-04-01,207830.019705992
gdp,nom,csa,2023-07-01,208437.860626637
gdp,nom,csa,2023-10-01,209356.192596148
gdp,nom,csa,2024-01-01,210657.036891187
gdp,nom,csa,2024-04-01,213115.463543433
gdp,nom,csa,2024-07-01,214845.491029031
gdp,nom,csa,2024-10-01,215593.368754133
gdp,nom,csa,2025-01-01,217887.444024546
gdp,nom,csa,2025-04-01,217908.348489805
gdp,nom,csa,2025-07-01,216156.403587015
gdp,nom,csa,2025-10-01,215833.523091827
gdp,nom,csa,2026-01-01,218742.230456026
gva,nom,csa,1990-01-01,89445.8562568135
gva,nom,csa,1990-04-01,90884.4579018264
gva,nom,csa,1990-07-01,91890.878057157
gva,nom,csa,1990-10-01,92782.2545630271
gva,nom,csa,1991-01-01,94585.3641845328
gva,nom,csa,1991-04-01,95053.5202997741
gva,nom,csa,1991-07-01,96038.6510365853
gva,nom,csa,1991-10-01,96905.9917769731
gva,nom,csa,1992-01-01,97641.2586402667
gva,nom,csa,1992-04-01,97983.3508643686
gva,nom,csa,1992-07-01,97593.9058455347
gva,nom,csa,1992-10-01,97548.5192668386
gva,nom,csa,1993-01-01,97808.8995277532
gva,nom,csa,1993-04-01,99463.8980269132
gva,nom,csa,1993-07-01,100450.812798547
gva,nom,csa,1993-10-01,101264.519736792
gva,nom,csa,1994-01-01,102207.143240972
gva,nom,csa,1994-04-01,101465.626529561
gva,nom,csa,1994-07-01,102354.153415925
gva,nom,csa,1994-10-01,102598.437148007
gva,nom,csa,1995-01-01,101788.48585907
gva,nom,csa,1995-04-01,102662.740643661
gva,nom,csa,1995-07-01,103442.030390643
gva,nom,csa,1995-10-01,103309.865147701
gva,nom,csa,1996-01-01,104212.413751385
gva,nom,csa,1996-04-01,103677.632939107
gva,nom,csa,1996-07-01,103424.920821015
gva,nom,csa,1996-10-01,103509.989698167
gva,nom,csa,1997-01-01,103703.538003281
gva,nom,csa,1997-04-01,104641.570998378
gva,nom,csa,1997-07-01,106017.263561798
gva,nom,csa,1997-10-01,106288.0033777
gva,nom,csa,1998-01-01,107255.26935859
gva,nom,csa,1998-04-01,108474.858796747
gva,nom,csa,1998-07-01,107950.880460095
gva,nom,csa,1998-10-01,106838.150013652
